,price,beds,accommodates,bedrooms,bathrooms,amenities_count,room_type,property_type,neighbourhood_cleansed,minimum_nights
294,55.24,1,1,1,1,47,Private room,Private room in home,TENTH WARD,30
295,263,2,5,2,1,49,Entire home/apt,Entire rental unit,SEVENTH WARD,1
296,149.5,1,2,1,1,35,Entire home/apt,Entire rental unit,SIXTH WARD,1
298,145,1,2,1,1,42,Entire home/apt,Entire rental unit,SIXTH WARD,1
300,85.12,1,4,2,1,26,Entire home/apt,Entire home,THIRD WARD,1
301,52,1,1,2,1.5,15,Private room,Private room in townhouse,SECOND WARD,1
302,36.06,1,1,1,0,28,Private room,Private room in rental unit,THIRD WARD,28
303,289,2,4,2,1,51,Entire home/apt,Entire home,FOURTH WARD,1
304,206,1,2,1,1,33,Entire home/apt,Entire rental unit,NINTH WARD,1
305,46.39,1,1,1,1,53,Private room,Private room in home,TENTH WARD,30
306,155,2,4,2,1,10,Entire home/apt,Entire rental unit,EIGHTH WARD,13
307,71.16,1,1,1,1,55,Private room,Private room in home,THIRTEENTH WARD,30
308,63,1,2,1,1,46,Private room,Private room in rental unit,THIRTEENTH WARD,1
309,63,1,2,1,1,46,Private room,Private room in rental unit,ELEVENTH WARD,1
310,230,2,6,2,1,46,Entire home/apt,Entire rental unit,SECOND WARD,1
311,71.82,1,1,1,1,55,Private room,Private room in home,TENTH WARD,28
312,71.16,1,1,1,1,55,Private room,Private room in home,TENTH WARD,30
313,66,1,2,1,1,46,Private room,Private room in rental unit,ELEVENTH WARD,1
314,95.45,1,2,1,1,15,Entire home/apt,Entire rental unit,SIXTH WARD,31
315,244.5,3,6,3,1,42,Entire home/apt,Entire rental unit,FIFTEENTH WARD,2
316,195.5,3,8,3,2,33,Entire home/apt,Entire home,SIXTH WARD,2
317,160.5,1,2,1,1,6,Entire home/apt,Entire rental unit,SIXTH WARD,2
318,96.81,1,2,1,1,12,Entire home/apt,Entire rental unit,SIXTH WARD,31
319,229,3,10,3,1,59,Entire home/apt,Entire rental unit,SECOND WARD,1
320,158.33,1,2,1,1,20,Entire home/apt,Entire rental unit,SIXTH WARD,1
321,370.88,3,6,3,1.5,42,Entire home/apt,Entire home,FIFTEENTH WARD,1
322,93.96,2,4,2,1,34,Entire home/apt,Entire rental unit,THIRD WARD,28
323,349,3,5,3,1,19,Entire home/apt,Entire home,THIRTEENTH WARD,1
324,354,4,8,4,2.5,42,Entire home/apt,Entire home,EIGHTH WARD,2
325,149,4,4,2,1,48,Entire home/apt,Entire rental unit,FOURTH WARD,1
326,84,1,4,2,1,39,Entire home/apt,Entire rental unit,FIFTH WARD,14
327,273,3,6,3,1,29,Entire home/apt,Entire home,FIRST WARD,2
328,164.87,4,8,4,1,37,Entire home/apt,Entire rental unit,TENTH WARD,28
329,132,2,4,1,1,48,Entire home/apt,Entire rental unit,SIXTH WARD,1
330,354,6,8,3,2,77,Entire home/apt,Entire home,FOURTEENTH WARD,1
331,219.57,3,5,3,2.5,22,Entire home/apt,Entire home,FOURTEENTH WARD,7
332,148,1,2,1,1,39,Entire home/apt,Entire rental unit,SEVENTH WARD,1
336,148,1,2,1,1,38,Entire home/apt,Entire rental unit,SEVENTH WARD,1
337,87,2,3,1,1,25,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
338,297,3,5,3,1,55,Entire home/apt,Entire rental unit,FOURTEENTH WARD,1
340,54.86,3,1,1,1,42,Private room,Private room in rental unit,NINTH WARD,8
341,88,1,2,1,1,25,Entire home/apt,Entire rental unit,FIFTH WARD,1
342,56.23,3,1,1,1,38,Private room,Private room in home,NINTH WARD,7
343,57.2,1,1,1,2,23,Private room,Private room in rental unit,THIRTEENTH WARD,5
344,38.19,3,1,1,1,41,Private room,Private room in home,FOURTEENTH WARD,28
345,120,4,5,4,1,39,Entire home/apt,Entire home,TENTH WARD,14
346,35.75,1,1,1,1,42,Private room,Private room in home,TENTH WARD,28
347,159,1,2,1,1,32,Entire home/apt,Entire rental unit,FOURTH WARD,2
348,540,8,12,4,3.5,66,Entire home/apt,Entire home,THIRD WARD,2
349,258.5,3,6,3,1,32,Entire home/apt,Entire rental unit,THIRTEENTH WARD,2
350,157,1,2,1,1,24,Entire home/apt,Entire rental unit,THIRD WARD,1
351,94,2,4,1,1,18,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
352,85,1,2,1,1,22,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
353,117,1,2,1,1,32,Entire home/apt,Entire rental unit,SIXTH WARD,2
355,242,2,6,2,1,58,Entire home/apt,Entire rental unit,SECOND WARD,1
356,43.67,1,1,1,1,8,Private room,Private room in rental unit,TENTH WARD,3
357,220,3,4,3,1,38,Entire home/apt,Entire rental unit,THIRTEENTH WARD,2
358,180,2,5,2,1,42,Entire home/apt,Entire rental unit,SECOND WARD,1
359,75,1,2,1,1,32,Entire home/apt,Entire rental unit,SECOND WARD,1
360,75,1,2,1,1,27,Entire home/apt,Entire rental unit,SECOND WARD,1
362,107.48,2,4,2,1,11,Entire home/apt,Entire rental unit,NINTH WARD,31
363,83,1,2,1,1,22,Entire home/apt,Entire rental unit,FIFTH WARD,1
364,90,1,2,1,1,26,Entire home/apt,Entire rental unit,FIFTH WARD,1
365,104,1,2,1,1,23,Entire home/apt,Entire rental unit,FIFTH WARD,1
366,160,1,2,1,1,11,Entire home/apt,Entire rental unit,TENTH WARD,1
367,81.4,1,2,1,1,40,Entire home/apt,Entire condo,FOURTEENTH WARD,5
368,309,1,4,2,1,45,Entire home/apt,Entire rental unit,SECOND WARD,1
369,199,2,4,2,1,42,Entire home/apt,Entire condo,SECOND WARD,1
370,199,2,4,2,1,39,Entire home/apt,Entire rental unit,SECOND WARD,1
371,132.71,1,4,1,1,16,Entire home/apt,Entire rental unit,THIRD WARD,14
372,91,2,2,1,1,23,Entire home/apt,Entire rental unit,FIFTH WARD,1
373,97,1,2,1,1,18,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
374,139,1,2,1,1,13,Entire home/apt,Entire rental unit,SIXTH WARD,2
375,171.5,1,2,1,1,51,Entire home/apt,Entire rental unit,FOURTH WARD,1
376,82.25,1,1,1,1,38,Private room,Private room in home,TENTH WARD,4
377,77.6,1,1,1,1,38,Private room,Private room in home,TENTH WARD,5
378,83.14,1,1,1,1,44,Private room,Private room in home,TENTH WARD,21
379,42.83,1,1,1,1,48,Private room,Private room in home,TENTH WARD,28
380,120,1,2,1,1,36,Entire home/apt,Entire condo,THIRD WARD,2
381,485,4,8,3,2.5,43,Entire home/apt,Entire home,NINTH WARD,1
383,159.69,4,9,4,1,22,Entire home/apt,Entire home,TENTH WARD,28
384,160,1,2,1,1,37,Entire home/apt,Entire rental unit,SIXTH WARD,1
385,88,2,4,1,1,23,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
386,83,1,2,1,1,20,Entire home/apt,Entire rental unit,FIFTH WARD,1
387,87,2,4,1,1,20,Entire home/apt,Entire rental unit,FIFTH WARD,1
388,90,1,2,1,1,23,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
389,92,2,4,1,1,21,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
390,87,2,4,1,1,23,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
391,115,1,3,1,1,37,Entire home/apt,Entire rental unit,SIXTH WARD,1
392,295.2,3,8,3,2,69,Entire home/apt,Entire home,THIRD WARD,1
393,67,1,2,1,1,23,Private room,Private room in rental unit,SIXTH WARD,2
394,98.54,1,2,1,1,13,Entire home/apt,Entire rental unit,SIXTH WARD,30
395,126,1,1,1,1,18,Private room,Private room in home,SEVENTH WARD,1
396,160,1,2,1,1,47,Entire home/apt,Entire rental unit,SIXTH WARD,1
397,173.7,1,3,1,1,44,Entire home/apt,Entire rental unit,FOURTH WARD,2
398,127.5,1,3,1,1,41,Entire home/apt,Entire home,SIXTH WARD,2
399,116,1,2,1,1,42,Entire home/apt,Entire home,SIXTH WARD,2
400,136.5,1,2,1,1,43,Entire home/apt,Entire rental unit,SIXTH WARD,2
401,213,1,3,1,1,36,Entire home/apt,Entire rental unit,SIXTH WARD,2
402,193.23,3,6,3,1,15,Entire home/apt,Entire rental unit,NINTH WARD,7
403,465,4,8,4,2,47,Entire home/apt,Entire home,TENTH WARD,1
404,102,1,2,1,1,24,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
405,143,1,2,1,1,20,Entire home/apt,Entire rental unit,SIXTH WARD,1
406,234,1,2,1,1,32,Entire home/apt,Entire rental unit,SIXTH WARD,1
407,106,1,2,1,1,62,Private room,Private room in rental unit,NINTH WARD,1
408,210,2,4,2,1,37,Entire home/apt,Entire rental unit,SIXTH WARD,1
409,185,2,5,2,1,48,Entire home/apt,Entire home,EIGHTH WARD,1
410,109,2,4,2,1,45,Private room,Private room in home,NINTH WARD,1
411,88.56,1,2,1,1,61,Private room,Private room in rental unit,NINTH WARD,1
412,115,2,4,1,1,7,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
413,105,2,4,1,1,22,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
414,82.16,2,2,2,1,13,Entire home/apt,Entire rental unit,FIRST WARD,1
415,538.5,2,4,2,2,73,Entire home/apt,Entire serviced apartment,SECOND WARD,2
416,253,2,4,2,1,49,Entire home/apt,Entire rental unit,FOURTEENTH WARD,1
417,71.82,1,1,1,2,49,Private room,Private room in home,TENTH WARD,28
418,119,1,2,1,1,37,Entire home/apt,Entire rental unit,SIXTH WARD,1
419,71.82,1,1,1,2,47,Private room,Private room in home,TENTH WARD,28
421,95,2,4,1,1,20,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
422,177,2,2,2,1,36,Entire home/apt,Entire rental unit,SIXTH WARD,1
423,158.59,3,6,3,1,15,Entire home/apt,Entire rental unit,NINTH WARD,14
424,148.5,1,2,1,1,28,Entire home/apt,Entire rental unit,SIXTH WARD,2
425,85,1,2,1,1,20,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
426,126,3,3,1,1,43,Entire home/apt,Entire rental unit,SIXTH WARD,1
427,77.11,1,1,8,3,49,Private room,Private room in home,NINTH WARD,1
430,63.05,1,1,4,1.5,42,Private room,Private room in home,NINTH WARD,7
431,99,1,2,1,1,23,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
432,91,1,2,1,1,20,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
433,203.5,5,8,3,1,33,Entire home/apt,Entire home,THIRTEENTH WARD,4
434,190,1,2,1,1,25,Entire home/apt,Entire home,THIRD WARD,1
435,342.5,5,9,4,2,52,Entire home/apt,Entire home,EIGHTH WARD,1
436,115,6,6,1,1,64,Entire home/apt,Entire townhouse,SECOND WARD,1
437,269,2,5,2,1.5,28,Entire home/apt,Entire rental unit,SEVENTH WARD,1
438,208.5,2,4,2,1,52,Entire home/apt,Entire home,EIGHTH WARD,2
439,185,1,2,1,1,28,Entire home/apt,Entire rental unit,SIXTH WARD,1
441,83,1,2,1,1,21,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
442,114,1,2,1,1,22,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
443,81,1,2,1,1,21,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
445,147.78,3,6,2,1,33,Entire home/apt,Entire home,FIRST WARD,1
446,164,1,2,1,1,39,Entire home/apt,Entire rental unit,SIXTH WARD,1
447,71,2,2,1,1.5,52,Private room,Private room in home,SIXTH WARD,1
448,77.49,1,1,1,2,50,Private room,Private room in home,TENTH WARD,21
449,226,4,6,3,1.5,52,Entire home/apt,Entire home,SIXTH WARD,1
450,287.58,4,8,3,1.5,37,Entire home/apt,Entire home,FOURTEENTH WARD,1
451,71,1,2,1,1.5,52,Private room,Private room in home,SIXTH WARD,1
452,71,2,2,1,1.5,55,Private room,Private room in home,SIXTH WARD,1
453,320,3,6,3,2,19,Entire home/apt,Entire rental unit,SEVENTH WARD,1
454,158.4,3,6,3,1,35,Entire home/apt,Entire rental unit,THIRTEENTH WARD,5
455,225,1,2,1,1,34,Entire home/apt,Entire rental unit,NINTH WARD,1
456,50.03,1,2,1,1,30,Private room,Private room in rental unit,FOURTEENTH WARD,5
457,46.93,1,2,1,1,29,Private room,Private room in rental unit,FOURTEENTH WARD,5
458,69.4,1,2,1,1,35,Private room,Private room in rental unit,THIRTEENTH WARD,5
459,149.5,1,4,2,1,48,Entire home/apt,Entire rental unit,NINTH WARD,2
460,124,2,4,1,1,30,Hotel room,Room in hotel,THIRD WARD,1
462,248,4,8,2,2,30,Hotel room,Room in hotel,THIRD WARD,1
464,372,6,12,3,3,30,Hotel room,Room in hotel,THIRD WARD,1
466,124,1,2,1,1,30,Hotel room,Room in hotel,THIRD WARD,1
468,132.67,3,5,2,1,34,Entire home/apt,Entire rental unit,SIXTH WARD,3
469,166,1,2,1,1,38,Entire home/apt,Entire rental unit,SIXTH WARD,1
470,160,3,5,3,1,30,Entire home/apt,Entire home,NINTH WARD,1
471,442,5,8,4,1.5,33,Entire home/apt,Entire home,TENTH WARD,1
472,131.67,3,5,2,1,34,Entire home/apt,Entire rental unit,SIXTH WARD,3
473,125,1,4,1,1,35,Entire home/apt,Entire rental unit,SIXTH WARD,1
474,44.83,1,1,4,1,40,Private room,Private room in home,TENTH WARD,28
475,89,1,2,1,1,26,Entire home/apt,Entire rental unit,TWELFTH WARD,1
476,123.5,1,2,1,1,43,Entire home/apt,Entire rental unit,SIXTH WARD,2
477,208,1,2,1,1,35,Entire home/apt,Entire rental unit,SIXTH WARD,1
478,42.07,1,1,1,1,10,Private room,Private room in rental unit,ELEVENTH WARD,30
479,224,2,4,2,1,23,Entire home/apt,Entire rental unit,FIRST WARD,1
480,96,1,2,1,1,8,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
481,97,1,2,1,1,22,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
482,91,1,2,1,1,10,Entire home/apt,Entire rental unit,ELEVENTH WARD,1
483,200.16,2,4,1,1,48,Entire home/apt,Entire rental unit,FOURTEENTH WARD,1
484,206,2,3,2,1,39,Entire home/apt,Entire rental unit,SIXTH WARD,1
485,149,2,4,1,1,26,Entire home/apt,Entire rental unit,TENTH WARD,1
486,213,1,2,1,1,7,Entire home/apt,Entire rental unit,SIXTH WARD,1
487,114.5,1,1,1,2,5,Private room,Private room in rental unit,SIXTH WARD,2
488,86,1,1,2,2,7,Private room,Private room in rental unit,SIXTH WARD,2
489,44.75,1,1,1,1,15,Private room,Private room in rental unit,THIRD WARD,28
