,price,beds,accommodates,bedrooms,bathrooms,amenities_count,room_type,property_type,neighbourhood_cleansed,minimum_nights
81,215,1,3,1,1,46,Entire home/apt,Entire rental unit,FOURTH WARD,1
82,188.5,2,3,1,1,53,Entire home/apt,Entire rental unit,ELEVENTH WARD,2
83,207.33,2,4,2,1,45,Entire home/apt,Entire rental unit,SIXTH WARD,3
84,96,1,1,1,1,64,Private room,Private room in home,FIFTEENTH WARD,3
85,217,1,2,1,1,49,Entire home/apt,Entire rental unit,FOURTH WARD,1
86,112,1,2,1,1,41,Entire home/apt,Room in aparthotel,THIRD WARD,1
87,126,1,2,1,1,45,Entire home/apt,Entire rental unit,TENTH WARD,1
88,165.5,1,3,1,1,49,Entire home/apt,Entire rental unit,FOURTH WARD,1
89,161.5,1,2,1,1,44,Entire home/apt,Entire rental unit,THIRD WARD,2
90,195.67,2,5,2,1,51,Entire home/apt,Entire townhouse,FIRST WARD,3
91,118,1,2,1,1,37,Entire home/apt,Entire guest suite,SIXTH WARD,1
